user_id,plan,start_date,monthly_revenue,status
1,Starter,2024-12-18,29,Active
2,Starter,2024-05-24,29,Active
4,Starter,2024-02-14,29,Active
5,Starter,2024-09-27,29,Cancelled
8,Starter,2024-04-02,29,Active
9,Starter,2024-05-03,29,Active
10,Growth,2024-03-06,99,Active
14,Growth,2024-11-21,99,Active
19,Starter,2024-11-19,29,Active
23,Growth,2024-06-12,99,Active
24,Enterprise,2024-07-04,499,Active
25,Growth,2024-12-19,99,Cancelled
30,Starter,2024-11-19,29,Active
32,Growth,2024-01-21,99,Active
33,Starter,2024-06-13,29,Active
36,Enterprise,2024-12-03,499,Active
38,Enterprise,2024-10-25,499,Active
39,Starter,2024-07-07,29,Active
40,Starter,2024-06-18,29,Active
44,Growth,2024-08-30,99,Cancelled
47,Starter,2024-05-03,29,Active
50,Starter,2024-07-13,29,Active
53,Starter,2024-08-21,29,Active
55,Growth,2024-12-22,99,Active
56,Starter,2024-03-10,29,Active
66,Starter,2024-05-20,29,Active
67,Growth,2024-02-10,99,Active
68,Enterprise,2024-09-23,499,Active
70,Starter,2024-04-12,29,Active
74,Enterprise,2024-10-04,499,Active
75,Starter,2024-12-29,29,Active
76,Starter,2024-03-29,29,Active
77,Growth,2024-01-20,99,Active
81,Growth,2024-10-30,99,Active
85,Growth,2024-04-30,99,Active
88,Enterprise,2024-01-25,499,Active
90,Enterprise,2024-11-06,499,Active
91,Starter,2024-10-26,29,Active
92,Growth,2024-11-01,99,Active
93,Growth,2024-06-20,99,Active
94,Growth,2024-07-17,99,Active
96,Growth,2024-12-07,99,Active
98,Starter,2024-04-26,29,Active
101,Starter,2024-04-27,29,Cancelled
108,Growth,2024-06-18,99,Active
120,Starter,2024-11-18,29,Active
124,Starter,2025-01-03,29,Active
125,Starter,2024-04-08,29,Active
126,Starter,2024-12-08,29,Active
127,Growth,2024-11-01,99,Active
131,Growth,2024-09-13,99,Active
132,Starter,2024-10-20,29,Active
134,Enterprise,2024-08-24,499,Active
137,Growth,2024-08-23,99,Cancelled
140,Growth,2025-01-17,99,Active
